ps_id,d_20180709,d_20180721,d_20180802,d_20180814,d_20180826,d_20180907,d_20180919,d_20181001,d_20181013,d_20181025,d_20181106,d_20181118,d_20181130,d_20181212,d_20181224,d_20190105,d_20190117,d_20190129
12399,0.0,-13.224847,-17.574818,-20.166912,-26.765526,-31.135307,-33.23455,-26.224463,-29.357155,-29.357155,-29.357155,-29.357155,-37.51392,-25.895876,-34.878418,-46.472054,-51.350155,-47.458298
12400,0.0,-13.077214,-17.33463,-20.286472,-26.985085,-30.941908,-33.20206,-25.983938,-29.403421,-29.403421,-29.403421,-29.403421,-37.394676,-25.808496,-34.846127,-46.36004,-51.491947,-47.83878
12401,0.0,0.0,-3.9003577,-7.7072067,-14.03843,-18.251806,-19.324043,-12.196809,-16.18288,-16.18288,-16.18288,-16.18288,-26.547398,-17.220562,-17.220562,-17.220562,-22.618668,-18.399527
12402,0.0,-10.399694,-17.502373,-19.999456,-25.0254,-29.501795,-31.526815,-24.40102,-26.859512,-33.79686,-25.034822,-14.609565,-22.775642,-13.1490345,-19.42618,-31.985569,-34.104816,-30.677433
12403,0.0,-12.549465,-16.722473,-20.751293,-27.049603,-29.214294,-31.239763,-25.574596,-27.909811,-27.909811,-27.909811,-27.909811,-37.290314,-25.80969,-35.3734,-45.636303,-49.455227,-49.12885
12404,0.0,-12.545409,-18.615372,-22.806509,-29.147121,-30.031536,-34.53406,-26.725784,-26.771013,-34.76318,-27.143826,-17.422194,-26.927355,-15.703506,-24.622587,-36.06461,-39.656204,-36.436733
12405,0.0,10.415769,9.757456,9.0802145,2.15393,-4.1171,-5.6525803,-1.2200598,-2.0449107,-2.0449107,-2.0449107,-2.0449107,-11.011691,1.8229239,-5.555508,-16.989412,-21.294153,-23.089945
12406,0.0,10.607329,10.129899,9.553906,2.4354045,-3.840423,-5.4074073,-1.0385334,-1.8786201,-1.8786201,-1.8786201,-1.8786201,-10.506774,2.217898,-5.087419,-16.547888,-20.830406,-22.267994
12407,0.0,13.089531,10.994672,9.784156,3.088881,-1.9947764,-4.1192093,1.4608047,-1.0507976,-6.8531094,5.5010376,12.692157,4.1285086,16.525478,8.833395,-2.6252928,-6.7636414,-7.079762
12408,0.0,-13.354366,-16.961853,-20.302105,-25.79934,-29.904465,-33.79061,-25.914078,-30.416702,-30.416702,-30.416702,-30.416702,-37.761612,-26.497612,-35.915375,-47.13749,-48.601265,-48.06802
12409,0.0,12.737868,13.69486,11.479302,5.332614,0.93918717,-4.039157,3.9445577,2.7458606,-5.528532,-18.994047,-13.026587,-21.413975,-8.9588785,-18.175545,-29.529947,-32.863888,-33.08988
12410,0.0,12.37794,13.13846,9.849721,3.9896517,0.25227457,-3.6840231,4.085471,1.9754231,-3.3386729,9.408855,14.139934,6.2737746,19.985582,10.063765,0.6574375,-1.2772709,-2.6876054
12411,0.0,0.0,0.0,0.0,-5.881556,-3.7045393,-3.7045393,7.694965,5.431901,5.431901,5.431901,5.431901,1.2447462,3.9799604,-7.0795307,5.7338095,4.859875,12.095235
12412,0.0,-10.65249,-16.252958,-18.184427,-25.087759,-28.957808,-29.673317,-23.834951,-26.745775,-26.745775,-26.745775,-26.745775,-37.528107,-23.755941,-32.63236,-44.035336,-46.18037,-44.00224
12413,0.0,-4.725718,8.145565,5.521097,-1.3853674,-2.170319,-7.3188195,6.149813,1.672649,-11.254075,-7.3225627,-8.90253,-21.283548,-13.049087,-18.889002,-7.716365,-12.554179,-15.137434
