ps_id,lon,lat,x_radar,y_radar,iy,ix,velocity_mm_yr,rmse_mm,psf,corr_median,valid_pair_count,first_date,last_date,displacement_first_mm,displacement_last_mm,displacement_delta_mm,corr_mean
66,-44.07614618817824,-20.064614808701954,18945.5,1245.5,41,1322,-46.43317,0.029176919,1.0475426,0.923279,28,2018-07-09,2019-01-29,0.0,-30.517366,-30.517366,0.8691037
67,-44.07619442907082,-20.064614808701954,18946.5,1245.5,41,1323,-46.279972,0.046436794,0.978919,0.8909052,27,2018-07-09,2019-01-29,0.0,-31.559952,-31.559952,0.84635574
68,-44.07825270715386,-20.06408994335809,19007.5,1245.5,41,1384,-1.473348,0.06113008,0.90880257,0.5435741,22,2018-07-09,2019-01-29,0.0,1.9430742,1.9430742,0.53621715
69,-44.06408596503543,-20.067632784429165,18528.5,1246.5,42,905,-21.653301,0.015896704,1.0259513,0.99761426,28,2018-07-09,2019-01-29,0.0,-12.888873,-12.888873,0.9311363
70,-44.064134205928,-20.067632784429165,18529.5,1246.5,42,906,-22.365526,0.020468792,0.9012083,1.0,28,2018-07-09,2019-01-29,0.0,-12.894224,-12.894224,0.9346643
71,-44.07050200374741,-20.066058188397577,18774.5,1246.5,42,1151,62.555595,0.13909116,0.95473063,0.5292963,18,2018-07-09,2019-01-29,0.0,30.388563,30.388563,0.4769185
72,-44.064069884737904,-20.06776400076513,18527.5,1247.5,43,904,-41.6291,0.06919763,0.96631676,0.98601747,26,2018-07-09,2019-01-29,0.0,-19.641714,-19.641714,0.9102511
73,-44.06411812563047,-20.06776400076513,18528.5,1247.5,43,905,-40.858852,0.042153392,0.9685809,0.99791574,26,2018-07-09,2019-01-29,0.0,-19.265816,-19.265816,0.91171914
74,-44.064198527118094,-20.06776400076513,18530.5,1247.5,43,907,55.865185,0.049312588,0.902377,0.95258343,27,2018-07-09,2019-01-29,0.0,43.496243,43.496243,0.8798614
75,,,18554.5,1247.5,43,931,69.27602,0.12067284,0.9359406,0.57498384,20,2018-07-09,2019-01-29,0.0,32.54606,32.54606,0.5506673
76,-44.07606578669063,-20.064877241373885,18945.5,1247.5,43,1322,-14.037849,0.042700972,0.97614783,0.9931936,28,2018-07-09,2019-01-29,0.0,-6.663283,-6.663283,0.9271797
77,-44.06294426391124,-20.068157649773028,18492.5,1248.5,44,869,13.376005,0.11324426,0.907808,0.59334946,21,2018-07-09,2019-01-29,0.0,-6.2436285,-6.2436285,0.56653345
78,-44.064198527118094,-20.067895217101096,18529.5,1248.5,44,906,-84.606575,0.041822802,1.0559541,0.8371752,27,2018-07-09,2019-01-29,0.0,-42.050182,-42.050182,0.76854146
79,,,18534.5,1248.5,44,911,78.71029,0.08302089,1.0391952,0.8452263,25,2018-07-09,2019-01-29,0.0,33.63076,33.63076,0.77360934
80,-44.06545279032495,-20.067632784429165,18569.5,1248.5,44,946,-41.073925,0.046198137,0.98159707,0.88234425,28,2018-07-09,2019-01-29,0.0,-16.822023,-16.822023,0.87530464
81,,,18570.5,1248.5,44,947,-41.077198,0.04655713,1.0269558,0.89364994,28,2018-07-09,2019-01-29,0.0,-17.360788,-17.360788,0.89563835
82,-44.065613593300185,-20.0675015680932,18575.5,1248.5,44,952,104.17589,0.10325005,1.1382818,0.63149136,25,2018-07-09,2019-01-29,0.0,60.956894,60.956894,0.6305155
83,-44.067671871383226,-20.066976702749336,18660.5,1248.5,44,1037,41.94657,0.0797807,0.9110498,0.65048546,25,2018-07-09,2019-01-29,0.0,24.768887,24.768887,0.64627594
84,-44.06802563792875,-20.066976702749336,18675.5,1248.5,44,1052,-118.20353,0.09705366,0.9976846,0.58294964,21,2018-07-09,2019-01-29,0.0,-52.686264,-52.686264,0.5646742
85,-44.07768989674052,-20.064614808701954,18993.5,1248.5,44,1370,-28.16144,0.064208545,0.99587077,0.82980907,25,2018-07-09,2019-01-29,0.0,-14.765408,-14.765408,0.7604446
86,-44.07810798447615,-20.06448359236599,19002.5,1248.5,44,1379,57.083317,0.05736678,1.0672837,0.9463896,27,2018-07-09,2019-01-29,0.0,21.236877,21.236877,0.86788905
87,-44.08018234285671,-20.063958727022126,19080.5,1248.5,44,1457,9.806117,0.11334193,0.90315086,0.4444986,17,2018-07-09,2019-01-29,0.0,0.56733173,0.56733173,0.46461862
88,-44.06421460741562,-20.068026433437062,18529.5,1249.5,45,906,98.77845,0.046057004,1.4298906,0.8411434,26,2018-07-09,2019-01-29,0.0,38.718708,38.718708,0.74834675
89,,,18592.5,1249.5,45,969,-116.85645,0.1649054,0.9440763,0.4340018,15,2018-07-09,2019-01-29,0.0,-63.40305,-63.40305,0.47663504
90,-44.07275324540073,-20.06592697206161,18846.5,1249.5,45,1223,-30.89373,0.13294609,0.9424279,0.48026597,22,2018-07-09,2019-01-29,0.0,-23.244026,-23.244026,0.49808338
91,-44.0731391725413,-20.065795755725645,18860.5,1249.5,45,1237,79.38947,0.19279724,0.9300652,0.5185001,22,2018-07-09,2019-01-29,0.0,48.71873,48.71873,0.53237635
92,-44.07574418074015,-20.065270890381782,18937.5,1249.5,45,1314,77.435585,0.072908245,0.90778536,0.62099755,25,2018-07-09,2019-01-29,0.0,36.83051,36.83051,0.6088852
93,-44.078027582988526,-20.064614808701954,19001.5,1249.5,45,1378,-43.086414,0.038613044,1.2909732,1.0,26,2018-07-09,2019-01-29,0.0,-29.22412,-29.22412,0.8902355
94,-44.07870295548452,-20.06448359236599,19019.5,1249.5,45,1396,47.645695,0.1300882,0.9866788,0.51729393,20,2018-07-09,2019-01-29,0.0,22.191753,22.191753,0.4940718
95,-44.07950697036071,-20.064352376030023,19052.5,1249.5,45,1429,6.3634896,0.07536409,0.9466331,0.6351208,26,2018-07-09,2019-01-29,0.0,5.4135046,5.4135046,0.6159825
96,-44.06543671002743,-20.067895217101096,18565.5,1250.5,46,942,-32.605774,0.097356215,0.9983683,0.83259904,26,2018-07-09,2019-01-29,0.0,-21.220968,-21.220968,0.78173536
97,,,18566.5,1250.5,46,943,-30.837154,0.08937721,1.0858668,0.8274938,25,2018-07-09,2019-01-29,0.0,-20.783346,-20.783346,0.7581951
98,,,18567.5,1250.5,46,944,-32.657562,0.08462221,0.9542637,0.8093604,24,2018-07-09,2019-01-29,0.0,-21.331814,-21.331814,0.7345743
99,-44.06590303865561,-20.06776400076513,18579.5,1250.5,46,956,-15.056119,0.10154072,0.9254293,0.74434865,22,2018-07-09,2019-01-29,0.0,-1.7397847,-1.7397847,0.6474901
100,-44.06661057174666,-20.0675015680932,18611.5,1250.5,46,988,-50.94982,0.11384212,0.91583836,0.5310468,22,2018-07-09,2019-01-29,0.0,-32.675663,-32.675663,0.5347638
101,-44.06812211971389,-20.067239135421268,18675.5,1250.5,46,1052,4.514553,0.11423198,0.9016006,0.40422332,14,2018-07-09,2019-01-29,0.0,-6.0388775,-6.0388775,0.4283366
102,-44.07680548037672,-20.065139674045817,18966.5,1250.5,46,1343,77.956406,0.08932041,0.9168803,0.6969618,27,2018-07-09,2019-01-29,0.0,25.863573,25.863573,0.70624256
