point_id,longitude,latitude,velocity_mm_yr,dem_error_m,gamma,rmse_rad,amplitude_dispersion_index,mean_amplitude,valid_pair_count,2018-01-10,2018-01-22,2018-02-03,2018-02-15,2018-02-27,2018-03-11,2018-03-23,2018-04-04,2018-04-16,2018-04-28,2018-05-10,2018-05-22,2018-06-03,2018-06-15,2018-06-27,2018-07-09,2018-07-21,2018-08-02,2018-08-14,2018-08-26,2018-09-07,2018-09-19,2018-10-01,2018-10-13,2018-10-25,2018-11-06,2018-11-18,2018-11-30,2018-12-12,2018-12-24,2019-01-05,2019-01-17,2019-01-29
621,-44.095348420023214,-20.095581863989857,-30.0,-16.0,0.919275,0.40785578,0.221529,0.00037647443,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.9203916e-15,-11.138034,-11.89492,-11.793619,-14.796528,-9.336264,-11.399472,-12.286828,-12.36226,-15.873045,-16.616974,-17.3609,-17.923916,-17.923916,-17.923916,-17.923916,-17.923916
631,-44.150050889041545,-20.08574063879243,-62.0,32.0,0.96217763,0.27867618,0.2173203,0.00012443759,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.441065,5.5786004,3.878876,5.425089,6.971302,8.517515,10.063727,11.609941,13.156154,14.702366,14.015874,11.46008,8.141227,11.90401,8.281943,3.9053853
632,-44.158417149009054,-20.066714270077405,-62.0,32.0,0.9420799,0.3442246,0.21013477,0.0001555898,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.9203916e-15,10.7244215,7.3958383,3.8658876,6.516261,9.166635,11.817009,14.467382,17.117756,15.587022,14.056288,15.175928,16.689487,8.056234,10.939317,10.745137,5.999984
639,-44.14721923182177,-20.07944225466608,-62.0,40.0,0.9141801,0.42269146,0.23625557,0.00014431524,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.9203916e-15,11.060896,10.040687,6.660497,4.7768188,4.217557,5.876887,7.536217,9.195547,10.854877,12.514208,16.049887,16.132309,9.087146,15.615698,13.365267,6.775471
642,-44.093417744646096,-20.09361361895037,-50.0,-32.0,0.95720506,0.29472056,0.22483774,0.00017313514,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,12.385703,10.17934,9.173347,8.541276,10.401758,10.324371,8.391531,6.009696,7.6800175,9.35034,11.020661,12.690983,14.361304,16.031626,17.701948,15.848143
659,-44.09316032126248,-20.093876051622303,-26.0,0.0,0.9202357,0.41621837,0.23191184,0.0004714754,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.961743,-9.192311,-10.495236,-11.237874,-11.264278,-12.39505,-12.711505,-12.503998,-12.932479,-12.932479,-12.932479,-12.932479,-12.932479,-12.932479,-12.932479,-12.932479
666,-44.09612069017406,-20.098599839717068,-32.0,-20.0,0.8369649,0.59542996,0.22777635,0.00024879372,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,12.683479,10.119148,13.471762,10.48087,11.461879,12.716632,11.328708,6.059265,6.417532,6.7757993,7.134066,7.492333,7.8506,7.8506,7.8506,7.8506
674,-44.15803101393363,-20.068026433437065,-60.0,40.0,0.9488301,0.32394177,0.21363357,0.00017669244,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,9.548527,7.79852,6.3242226,7.200923,8.077623,8.954324,9.831025,10.707726,11.584426,12.461126,12.182506,15.158774,8.967984,10.781567,11.133415,3.989073
687,-44.095348420023214,-20.095844296661788,-26.0,-12.0,0.9264778,0.39259818,0.2429174,0.0003334301,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.204464,-9.568812,-9.681025,-13.630729,-10.996038,-12.439317,-11.045008,-13.628668,-13.238497,-14.386373,-15.534249,-15.823201,-15.957479,-15.957479,-15.957479,-15.957479
689,-44.094704861564175,-20.102273897124107,-40.0,-24.0,0.8999888,0.45509607,0.22149613,0.00017279296,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.2241178,4.666006,3.3739133,2.414032,2.0175388,1.6210455,1.7215807,2.1754477,2.1754477,2.1754477,2.1754477,2.1754477,2.1754477,2.1754477,2.1754477,2.1754477
699,-44.09277418618706,-20.092957537270543,-60.0,-36.0,0.8248223,0.62379014,0.22112992,0.00010524349,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,11.493879,9.88288,6.4015646,6.0212836,5.910419,8.155563,7.141794,9.575499,12.009202,14.442906,16.876612,16.49454,15.701762,14.908986,14.116209,10.9190035
704,-44.16227849976329,-20.07301265420376,-60.0,40.0,0.9730441,0.23360339,0.21389751,0.00015998124,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.9402936e-15,7.427001,7.2719827,3.2098327,1.0498347,2.6902144,4.330594,5.9709735,7.611353,9.251733,10.892112,12.532492,14.172872,10.8914175,12.907917,8.844361,6.1072173
738,-44.16137751792064,-20.071044409164276,-58.0,40.0,0.9537537,0.30705687,0.21450779,8.5356805e-05,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,11.584757,8.381778,5.4475284,8.414058,11.380588,14.347116,17.313646,16.492767,15.671888,14.851009,15.446126,16.023857,8.594995,13.23508,11.076743,8.408901
743,-44.095219708331406,-20.10292997880393,-34.0,-32.0,0.963839,0.27309382,0.2487394,0.00023321668,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,5.6660166,2.6910112,2.704269,2.1261892,1.3798797,4.852921,4.4388013,-0.1531959,-0.6852952,-1.2173945,-1.2173945,-1.2173945,-1.2173945,-1.2173945,-1.2173945,-1.2173945
748,-44.1672982557438,-20.073799952219552,-60.0,40.0,0.9394868,0.35379896,0.2385987,0.00016835134,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.6390014,7.244004,4.991807,5.9356685,6.8795304,7.823392,8.767254,9.711116,10.654977,11.598839,14.422583,13.6924305,7.320402,11.332033,12.303253,6.421192
749,-44.15970426592713,-20.064614808701958,-60.0,36.0,0.9923783,0.1236501,0.23288263,0.00010213836,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.1916,7.3573275,5.6624565,7.1325827,8.602709,10.072836,11.542962,13.013088,14.483215,15.9533415,15.909514,15.036427,12.252926,13.33981,9.644339,5.664051
753,-44.09444743818056,-20.09453213330213,-30.0,4.0,0.93633944,0.3616963,0.24223724,0.0002814164,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.800979e-16,-8.670326,-10.010016,-10.394288,-12.730363,-11.554352,-14.321018,-15.187565,-13.939493,-13.73591,-13.73591,-13.73591,-13.73591,-13.73591,-13.73591,-13.73591,-13.73591
772,-44.093546456337904,-20.094400916966165,-26.0,12.0,0.9233013,0.3976936,0.23818585,0.00025641994,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.800979e-16,-5.800103,-8.240769,-8.585614,-9.104202,-9.289509,-12.002647,-11.814932,-11.548033,-10.558307,-10.558307,-10.558307,-10.558307,-10.558307,-10.558307,-10.558307,-10.558307
778,-44.14824892535624,-20.084690908104704,-64.0,40.0,0.993268,0.11620175,0.217038,0.000119338845,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,9.609522,8.000815,6.574027,7.7148657,8.855704,9.996543,11.137381,12.278219,13.419058,14.559896,13.999565,13.697861,9.055529,9.846054,8.274367,3.3248992
781,-44.09277418618706,-20.092957537270543,-64.0,-40.0,0.9240293,0.3957767,0.23231132,0.00016137642,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.8417015,7.4001474,6.4536,6.3039374,7.225139,6.554381,6.981584,9.076251,11.170917,13.265583,15.3602495,17.454916,14.494087,11.533259,10.872133,9.275691
785,-44.15648647363194,-20.07655549527483,-58.0,32.0,0.947436,0.32984012,0.24211547,8.705073e-05,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.9203916e-15,9.269444,5.8159924,5.548146,3.097875,5.0140815,6.9302883,8.846495,10.762701,12.678908,14.595115,14.463798,14.332481,13.464859,11.789594,11.712741,6.426702
795,-44.09740780709214,-20.10463579117149,-30.0,-40.0,0.8850024,0.53440773,0.22723202,0.0001532011,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.9402936e-15,3.6186223,1.8033016,2.951469,1.9344946,5.8234453,7.396643,7.647935,2.7670765,3.233327,3.699577,-0.5242865,-1.217895,-1.9115034,-1.9115034,-1.9115034,-1.9115034
800,-44.1674269674356,-20.07432481756341,-60.0,40.0,0.99912155,0.04192622,0.23580386,0.00012518003,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.800979e-16,7.2722893,5.9004493,3.6305058,4.920119,6.209732,7.4993453,8.788959,10.078571,11.368185,12.657798,12.318664,12.262682,8.712844,9.978388,6.8663316,2.6784942
809,-44.16163494130425,-20.076817927946763,-60.0,40.0,0.9765173,0.21793333,0.2365612,0.00012580244,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.962013,5.7161236,2.3178885,3.9542387,5.5905886,7.2269387,8.863289,10.499639,12.135989,13.772339,12.257045,13.267727,7.1401978,11.410082,7.107647,2.450947
810,-44.15906070746809,-20.06566453938968,-64.0,40.0,0.9807913,0.19675484,0.22297284,0.00012886837,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.800979e-16,7.8440166,7.275415,4.125235,5.104406,6.0835767,7.0627475,8.041918,9.021089,10.000259,10.97943,11.690113,11.278003,4.6275845,6.7764463,4.721173,1.5137162
812,-44.09612069017406,-20.10463579117149,-32.0,-28.0,0.9810543,0.19555587,0.24058457,0.00018460231,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.800979e-16,7.31521,5.1716866,4.326726,5.483485,4.73388,6.402596,5.282727,2.5872052,1.5491064,0.51100767,0.51100767,0.51100767,0.51100767,0.51100767,0.51100767,0.51100767
815,-44.09290289787887,-20.09361361895037,-34.0,-32.0,0.9477484,0.3269546,0.24155085,0.00027799365,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,12.474434,11.047609,9.862652,9.990208,11.583265,11.348773,13.268622,9.49032,8.327097,7.163874,6.0006514,6.0006514,6.0006514,6.0006514,6.0006514,6.0006514
817,-44.15326868133674,-20.081935365049425,-60.0,40.0,0.97455287,0.22695863,0.23753211,0.00013418394,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.259489,7.2806478,5.8008027,6.9311385,8.061475,9.191811,10.322146,11.452482,12.582818,13.713154,12.388122,13.662901,9.07014,10.147478,10.679209,2.696896
819,-44.15391223979578,-20.07025711114848,-58.0,40.0,0.96879125,0.251771,0.22422275,0.00012923428,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.140468,7.2753587,4.409699,5.7800684,7.150438,8.520807,9.891176,11.261545,12.631915,14.002284,15.87092,13.33826,8.040307,10.486364,8.374577,4.4286313
826,-44.09573455509864,-20.100436868420587,-40.0,-32.0,0.85571986,0.5583373,0.24542302,0.00029766848,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,7.831352,5.9214454,8.252972,4.1020045,6.227027,9.899216,7.214245,5.9900885,3.8597348,1.7293808,2.5375886,3.3457963,4.154004,4.154004,4.154004,4.154004
839,-44.1541696631794,-20.07983590367397,-60.0,40.0,0.9838538,0.18029623,0.23935002,0.00027133914,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.260229,8.677112,5.5935435,6.8149085,8.036273,9.257638,10.479003,11.700368,12.921733,14.143098,14.13816,15.532552,12.327246,13.41296,9.832256,6.657599
