point_id,radar_y,radar_x,velocity_mm_yr,dem_error_m,constant_phase_rad,gamma,rmse_rad,gamma_initial,rmse_initial_rad,amplitude_dispersion_index,mean_amplitude,valid_pair_count,latitude,longitude
538,1494.5,21253.5,-60.0,40.0,-0.021638995,0.9603823,0.28433818,0.5365753,1.082714,0.2098461,7.573011e-05,32,-20.07904860565818,-44.15468450994663
547,1452.5,21194.5,-62.0,40.0,-1.1870877,0.90768754,0.43956012,0.4103184,1.2931021,0.21304497,0.00048326713,32,-20.074324817563415,-44.1509518708842
551,1494.5,19155.5,-60.0,-40.0,1.6945103,0.9269395,0.38688326,0.44026893,1.1990443,0.22368047,8.363042e-05,32,-20.09361361895037,-44.09431872648875
573,1582.5,19213.5,-26.0,-40.0,-2.8807619,0.981993,0.19041304,0.5239031,1.134338,0.21994461,0.00020242653,32,-20.104373358499558,-44.097150383708524
591,1583.5,19190.5,-28.0,-28.0,-3.092794,0.88030064,0.50150853,0.47498426,1.2647886,0.24380408,0.00016093155,32,-20.104767007507455,-44.09637811355768
595,1488.5,19115.5,-60.0,-36.0,1.9978651,0.9506957,0.31798822,0.46902725,1.2096643,0.22435091,0.00015162292,32,-20.09308875360651,-44.09277418618706
597,1496.5,19166.5,-56.0,-40.0,1.6082065,0.9236856,0.39662957,0.4269904,1.2363955,0.221461,0.00016114896,32,-20.09361361895037,-44.094704861564175
617,1512.5,19167.5,-28.0,-12.0,1.326956,0.91071886,0.43331236,0.44547072,1.201973,0.20454994,0.00030632524,32,-20.095581863989857,-44.095348420023214
621,1511.5,19167.5,-30.0,-16.0,1.3725809,0.919275,0.40785578,0.46167073,1.1756694,0.221529,0.00037647443,32,-20.095581863989857,-44.095348420023214
631,1537.5,21046.5,-62.0,32.0,-1.0195479,0.96217763,0.27867618,0.4911133,1.258974,0.2173203,0.00012443759,32,-20.08574063879243,-44.150050889041545
632,1407.5,21490.5,-62.0,32.0,-0.865381,0.9420799,0.3442246,0.44813883,1.2309767,0.21013477,0.0001555898,32,-20.066714270077405,-44.158417149009054
639,1483.5,21022.5,-62.0,40.0,-1.5116135,0.9141801,0.42269146,0.38879326,1.29555,0.23625557,0.00014431524,32,-20.079442254666077,-44.14721923182177
642,1492.5,19128.5,-50.0,-32.0,1.5953062,0.95720506,0.29472056,0.46101868,1.1953183,0.22483774,0.00017313514,32,-20.09361361895037,-44.093417744646096
659,1494.5,19117.5,-26.0,0.0,1.6553823,0.9202357,0.41621837,0.4238018,1.2815943,0.23191184,0.0004714754,32,-20.093876051622303,-44.09316032126248
666,1535.5,19195.5,-32.0,-20.0,2.206041,0.8369649,0.59542996,0.46403384,1.1947036,0.22777635,0.00024879372,32,-20.098599839717068,-44.09612069017406
674,1416.5,21468.5,-60.0,40.0,-0.70181346,0.9488301,0.32394177,0.45896307,1.2486024,0.21363357,0.00017669244,32,-20.068026433437062,-44.15803101393363
687,1513.5,19170.5,-26.0,-12.0,1.2933973,0.9264778,0.39259818,0.417652,1.2304267,0.2429174,0.0003334301,32,-20.095844296661788,-44.095348420023214
689,1562.5,19163.5,-40.0,-24.0,-2.7516148,0.8999888,0.45509607,0.46763992,1.2582577,0.22149613,0.00017279296,32,-20.102273897124107,-44.094704861564175
